TSR|monsterKey|setting|mainTitle|title|name|Diet|Frequency|Hit Dice|Intelligence|Magic Resistance|Morale|Movement|No. Appearing|No. of Attacks|Organization|Size|Special Attacks|Special Defenses|THAC0|Treasure|XP Value|Alignment|Armor Class|Climate/Terrain|Damage/Attack
['2129']|ammut|Al-Qadim (Forgotten Realms)|Ammut|Ammut|Ammut|Carnivore|Very rare|6|Average (8-10)|Nil|Elite (14)|9, Sw 12, Br 3|1-12|1 or 2|Clan|L (12' long)|Swallow whole, roar|Nil|15|A|650|Neutral evil|3|Underground|2-16 or 1-8/1-8
['2129']|ashira|Al-Qadim (Forgotten Realms)|Ashira|Ashira|Ashira|Sunlight|Rare|3|Average (8-10)|10%|Average (8)|12|2-12|2|Clan|M|Charm|Meld with tree|17|Nil|270|Chaotic good|7|Domesticated trees|1-6/1-6
['2129', '2615']|asuras|Al-Qadim (Forgotten Realms)|Asuras|Asuras|Asuras|Positive energy|Very rare (Rare on Upper Planes)|8|Genius (17-18)|40%|Fearless (19)|12, Fl 33 (A)|1 (2d20 on Upper Planes)|3|Hierarchy|M (6')|Fiery eyes, trumpet blare, burning winds, spells|Spell immunities|13|Nil|7,000|Chaotic good|-2|Any/Upper Planes|1-10/1-10/by weapon type
['2129']|blacclov|Al-Qadim (Forgotten Realms)|Black Cloud of Vengeance|Black Cloud of Vengeance|Black Cloud of Vengeance|Unknown|Very rare|15-20|Exceptional (15-16)|30%|Fearless (19)|Fl 24 (E)|1|2|Solitary|G (Storm-sized)|Fiery rain, wind|+3 or better weapon to hit, totally resistant to fire magic|15 HD: 7<br>16-20 HD: 5|G|15 HD: 15,000<br>16 HD: 16,000<br>17 HD: 17,000<br>18 HD: 18,000<br>19 HD: 19,000<br>20 HD: 20,000|Chaotic evil or neutral|-3|Desert|15 HD: 3-30/4-40<br>16-17 HD: 4-40/5-50<br>18-19 HD: 5-50/6-60<br>20 HD: 6-60/7-70
['2129', '2615']|buraq|Planescape|Buraq|Buraq|Buraq|Herbivore|Very rare (uncommon in Elysium, rare on other Upper Planes)|5|High (13-14)|20%|Elite (14)|27, Fl 27 (C)|1-4|3|Herd or solitary|L (6' long)|Trample|Time stop|15|Nil|1,400|Neutral good|4|Any (Elysium and other Upper Planes)|1-6/1-6/2-12
['2129']|camel|Al-Qadim (Forgotten Realms)|Camel|Camel|Desert|Herbivore|Common|3|Animal to Semi- (1-4)|Nil|Steady (12)|21|1-12|1|Herd|L (8' tall)|Spitting, trample|Nil|17|Nil|65|Neutral|7|Any land|1-4
['2129']|camel|Al-Qadim (Forgotten Realms)|Camel|Camel|Mountain|Herbivore|Common|3|Animal to Semi- (1-4)|Nil|Steady (12)|21|1-12|1|Herd|L (8' tall)|Spitting, trample|Nil|17|Nil|65|Neutral|7|Any land|1-4
['2129']|camel|Al-Qadim (Forgotten Realms)|Camel|Camel|Racing|Herbivore|Common|2+2|Animal to Semi- (1-4)|Nil|Unreliable (3)|24|1-6|1|Herd|L (8' tall)|Spitting, trample|Nil|19|Nil|75|Neutral|7|Any land|1-4
['2129']|camel|Al-Qadim (Forgotten Realms)|Camel|Camel|War|Herbivore|Common|3+3|Animal to Semi- (1-4)|Nil|Elite (13)|21|1-12|3|Herd|L (8' tall)|Spitting, trample|Nil|16|Nil|95|Neutral|7|Any land|1-4/1-6/1-6
['2129']|camepear|Al-Qadim (Forgotten Realms)|Camel of the Pearl|Camel of the Pearl|Camel of the Pearl|Omnivore|Rare|5|High (13-14)|10%|Elite (14)|24|1 (2-12)|2|Solitary|G (30' tall)|Trample|Spells|15|Nil|1,400|Lawful good|6|Any|1-8/2-12
